type, degree, size, action, cmp_count, swaps_count, cpu_cycles
vector,2,100,build, 260,69,11115
vector,2,100,pop, 18,7,900
vector,2,100,insert, 3,2,216
vector,2,100,sort, 1258,514,47844
vector,2,100,build, 259,70,10791
vector,2,100,pop, 18,7,882
vector,2,100,insert, 2,1,198
vector,2,100,sort, 1259,512,47628
vector,2,100,build, 269,73,11106
vector,2,100,pop, 18,7,864
vector,2,100,insert, 1,0,108
vector,2,100,sort, 1246,507,47124
vector,2,100,build, 276,76,11763
vector,2,100,pop, 18,7,819
vector,2,100,insert, 3,2,279
vector,2,100,sort, 1272,520,48879
vector,2,100,build, 260,74,10494
vector,2,100,pop, 18,7,810
vector,2,100,insert, 1,0,108
vector,2,100,sort, 1228,495,46305
vector,2,100,build, 263,69,10359
vector,2,100,pop, 18,7,846
vector,2,100,insert, 4,3,315
vector,2,100,sort, 1240,503,48051
vector,2,100,build, 243,59,10080
vector,2,100,pop, 15,6,675
vector,2,100,insert, 2,1,171
vector,2,100,sort, 1251,509,45243
vector,2,100,build, 260,66,10233
vector,2,100,pop, 18,7,693
vector,2,100,insert, 3,2,252
vector,2,100,sort, 1251,511,45180
vector,2,100,build, 251,63,10143
vector,2,100,pop, 18,7,882
vector,2,100,insert, 3,2,270
vector,2,100,sort, 1241,502,48618
vector,2,100,build, 260,68,10314
vector,2,100,pop, 15,5,648
vector,2,100,insert, 3,2,279
vector,2,100,sort, 1242,503,47313
vector,2,100,build, 257,66,10728
vector,2,100,pop, 15,6,702
vector,2,100,insert, 1,0,108
vector,2,100,sort, 1253,506,45990
vector,2,100,build, 265,69,11232
vector,2,100,pop, 18,7,792
vector,2,100,insert, 2,1,189
vector,2,100,sort, 1261,515,46359
vector,2,100,build, 272,69,11088
vector,2,100,pop, 15,6,675
vector,2,100,insert, 1,0,108
vector,2,100,sort, 1252,509,47529
vector,2,100,build, 272,78,11682
vector,2,100,pop, 15,6,774
vector,2,100,insert, 1,0,108
vector,2,100,sort, 1256,507,48537
vector,2,100,build, 277,75,11844
vector,2,100,pop, 18,7,783
vector,2,100,insert, 1,0,108
vector,2,100,sort, 1252,514,48960
vector,2,100,build, 268,71,10962
vector,2,100,pop, 18,7,846
vector,2,100,insert, 3,2,297
vector,2,100,sort, 1256,516,45171
vector,2,100,build, 275,79,11709
vector,2,100,pop, 15,6,729
vector,2,100,insert, 1,0,108
vector,2,100,sort, 1248,506,47385
vector,2,100,build, 265,74,11448
vector,2,100,pop, 18,6,783
vector,2,100,insert, 5,4,378
vector,2,100,sort, 1238,500,48672
vector,2,100,build, 249,57,9837
vector,2,100,pop, 18,7,810
vector,2,100,insert, 3,2,261
vector,2,100,sort, 1250,507,49806
vector,2,100,build, 268,71,11304
vector,2,100,pop, 15,6,684
vector,2,100,insert, 3,2,297
vector,2,100,sort, 1244,507,46098
vector,2,100,build, 255,69,12051
vector,2,100,pop, 15,6,756
vector,2,100,insert, 2,1,216
vector,2,100,sort, 1252,511,48330
vector,2,100,build, 250,68,10116
vector,2,100,pop, 18,7,792
vector,2,100,insert, 2,1,207
vector,2,100,sort, 1235,494,45720
vector,2,100,build, 259,76,11142
vector,2,100,pop, 15,6,657
vector,2,100,insert, 1,0,126
vector,2,100,sort, 1253,512,271688
vector,2,100,build, 268,72,10881
vector,2,100,pop, 18,7,828
vector,2,100,insert, 2,1,198
vector,2,100,sort, 1256,510,47817
vector,2,100,build, 264,69,11682
vector,2,100,pop, 15,6,756
vector,2,100,insert, 5,4,441
vector,2,100,sort, 1264,523,47484
vector,2,100,build, 263,71,10683
vector,2,100,pop, 18,7,720
vector,2,100,insert, 1,0,108
vector,2,100,sort, 1253,514,48303
vector,2,100,build, 263,70,11142
vector,2,100,pop, 18,7,810
vector,2,100,insert, 2,1,171
vector,2,100,sort, 1259,514,55179
vector,2,100,build, 263,69,10638
vector,2,100,pop, 18,7,792
vector,2,100,insert, 2,1,207
vector,2,100,sort, 1234,502,88245
vector,2,100,build, 265,71,11061
vector,2,100,pop, 18,7,720
vector,2,100,insert, 1,0,117
vector,2,100,sort, 1246,512,83079
vector,2,100,build, 275,75,11826
vector,2,100,pop, 18,7,819
vector,2,100,insert, 1,0,108
vector,2,100,sort, 1230,501,47799
vector,2,100,build, 269,73,11574
vector,2,100,pop, 15,6,729
vector,2,100,insert, 3,2,270
vector,2,100,sort, 1262,515,46908
vector,2,100,build, 275,84,11889
vector,2,100,pop, 18,7,801
vector,2,100,insert, 1,0,108
vector,2,100,sort, 1253,511,84699
vector,2,100,build, 264,73,11565
vector,2,100,pop, 15,6,729
vector,2,100,insert, 2,1,216
vector,2,100,sort, 1248,514,83322
vector,2,100,build, 250,58,9774
vector,2,100,pop, 15,5,585
vector,2,100,insert, 3,2,297
vector,2,100,sort, 1247,509,47466
vector,2,100,build, 265,73,11277
vector,2,100,pop, 18,7,819
vector,2,100,insert, 2,1,198
vector,2,100,sort, 1263,512,86616
vector,2,100,build, 260,67,10782
vector,2,100,pop, 18,7,828
vector,2,100,insert, 3,2,279
vector,2,100,sort, 1254,510,47655
vector,2,100,build, 266,71,10917
vector,2,100,pop, 18,7,801
vector,2,100,insert, 3,2,252
vector,2,100,sort, 1256,516,45387
vector,2,100,build, 259,72,11133
vector,2,100,pop, 18,7,927
vector,2,100,insert, 1,0,117
vector,2,100,sort, 1246,507,83475
vector,2,100,build, 272,69,11520
vector,2,100,pop, 18,7,738
vector,2,100,insert, 1,0,117
vector,2,100,sort, 1235,506,82665
vector,2,100,build, 261,73,11583
vector,2,100,pop, 15,6,801
vector,2,100,insert, 6,5,396
vector,2,100,sort, 1241,508,47871
vector,2,100,build, 251,68,10620
vector,2,100,pop, 18,7,855
vector,2,100,insert, 1,0,117
vector,2,100,sort, 1254,513,86769
vector,2,100,build, 248,64,10683
vector,2,100,pop, 18,7,828
vector,2,100,insert, 2,1,198
vector,2,100,sort, 1248,505,47421
vector,2,100,build, 250,69,10872
vector,2,100,pop, 18,7,819
vector,2,100,insert, 2,1,171
vector,2,100,sort, 1257,517,50391
vector,2,100,build, 263,63,10035
vector,2,100,pop, 18,7,900
vector,2,100,insert, 3,2,288
vector,2,100,sort, 1247,505,83331
vector,2,100,build, 254,63,10530
vector,2,100,pop, 15,6,765
vector,2,100,insert, 2,1,180
vector,2,100,sort, 1249,508,46980
vector,2,100,build, 267,73,11367
vector,2,100,pop, 15,6,765
vector,2,100,insert, 2,1,180
vector,2,100,sort, 1256,513,88209
vector,2,100,build, 269,74,11691
vector,2,100,pop, 15,6,729
vector,2,100,insert, 1,0,117
vector,2,100,sort, 1253,513,47340
vector,2,100,build, 275,76,11907
vector,2,100,pop, 18,7,783
vector,2,100,insert, 1,0,117
vector,2,100,sort, 1254,506,47160
vector,2,100,build, 254,66,10845
vector,2,100,pop, 18,7,828
vector,2,100,insert, 6,5,423
vector,2,100,sort, 1258,510,84294
vector,2,100,build, 258,70,10953
vector,2,100,pop, 15,6,738
vector,2,100,insert, 3,2,261
vector,2,100,sort, 1238,507,48933
vector,2,100,build, 269,79,11205
vector,2,100,pop, 18,7,900
vector,2,100,insert, 2,1,171
vector,2,100,sort, 1242,503,47826
vector,2,100,build, 268,69,11376
vector,2,100,pop, 18,6,792
vector,2,100,insert, 1,0,108
vector,2,100,sort, 1241,501,83196
vector,2,100,build, 268,76,11250
vector,2,100,pop, 15,6,783
vector,2,100,insert, 1,0,108
vector,2,100,sort, 1258,514,83088
vector,2,100,build, 265,72,11565
vector,2,100,pop, 15,6,738
vector,2,100,insert, 2,1,198
vector,2,100,sort, 1248,508,82206
vector,2,100,build, 261,64,112203
vector,2,100,pop, 18,7,783
vector,2,100,insert, 2,1,243
vector,2,100,sort, 1249,507,48258
vector,2,100,build, 244,63,10359
vector,2,100,pop, 18,7,954
vector,2,100,insert, 1,0,72
vector,2,100,sort, 1235,501,47223
vector,2,100,build, 269,68,10890
vector,2,100,pop, 15,5,630
vector,2,100,insert, 1,0,108
vector,2,100,sort, 1245,511,45963
vector,2,100,build, 266,72,10512
vector,2,100,pop, 15,6,702
vector,2,100,insert, 3,2,324
vector,2,100,sort, 1238,498,45783
vector,2,100,build, 273,78,11646
vector,2,100,pop, 18,7,900
vector,2,100,insert, 3,2,288
vector,2,100,sort, 1231,499,46440
vector,2,100,build, 256,69,10314
vector,2,100,pop, 15,6,621
vector,2,100,insert, 3,2,288
vector,2,100,sort, 1251,506,47403
vector,2,100,build, 261,68,11034
vector,2,100,pop, 15,6,666
vector,2,100,insert, 2,1,180
vector,2,100,sort, 1246,509,135819
vector,2,100,build, 279,78,11727
vector,2,100,pop, 18,6,756
vector,2,100,insert, 1,0,108
vector,2,100,sort, 1234,503,47187
vector,2,100,build, 257,66,10305
vector,2,100,pop, 18,7,900
vector,2,100,insert, 4,3,342
vector,2,100,sort, 1263,512,48024
vector,2,100,build, 264,73,11061
vector,2,100,pop, 18,7,891
vector,2,100,insert, 1,0,108
vector,2,100,sort, 1261,512,49284
vector,2,100,build, 272,72,11259
vector,2,100,pop, 15,6,693
vector,2,100,insert, 2,1,180
vector,2,100,sort, 1253,511,51075
vector,2,100,build, 273,75,11448
vector,2,100,pop, 18,7,747
vector,2,100,insert, 1,0,108
vector,2,100,sort, 1254,511,45972
vector,2,100,build, 274,70,10953
vector,2,100,pop, 18,7,819
vector,2,100,insert, 5,4,423
vector,2,100,sort, 1255,506,48132
vector,2,100,build, 261,65,10062
vector,2,100,pop, 15,6,729
vector,2,100,insert, 3,2,243
vector,2,100,sort, 1243,508,48726
vector,2,100,build, 254,71,11448
vector,2,100,pop, 15,6,783
vector,2,100,insert, 2,1,189
vector,2,100,sort, 1241,502,46503
vector,2,100,build, 269,74,11052
vector,2,100,pop, 15,6,720
vector,2,100,insert, 6,5,414
vector,2,100,sort, 1238,508,46422
vector,2,100,build, 270,75,11394
vector,2,100,pop, 18,7,756
vector,2,100,insert, 6,6,405
vector,2,100,sort, 1247,503,48294
vector,2,100,build, 274,77,11700
vector,2,100,pop, 15,5,657
vector,2,100,insert, 1,0,108
vector,2,100,sort, 1251,510,48789
vector,2,100,build, 260,69,10386
vector,2,100,pop, 18,7,702
vector,2,100,insert, 2,1,216
vector,2,100,sort, 1237,500,46845
vector,2,100,build, 254,69,10602
vector,2,100,pop, 18,7,801
vector,2,100,insert, 2,1,189
vector,2,100,sort, 1262,517,47457
vector,2,100,build, 270,74,11223
vector,2,100,pop, 18,7,702
vector,2,100,insert, 2,1,171
vector,2,100,sort, 1257,512,45459
vector,2,100,build, 269,76,11142
vector,2,100,pop, 15,6,810
vector,2,100,insert, 3,2,261
vector,2,100,sort, 1248,511,46728
vector,2,100,build, 262,67,10809
vector,2,100,pop, 18,7,819
vector,2,100,insert, 2,1,162
vector,2,100,sort, 1261,515,47844
vector,2,100,build, 263,66,10692
vector,2,100,pop, 18,7,810
vector,2,100,insert, 3,2,225
vector,2,100,sort, 1233,498,44739
vector,2,100,build, 271,74,11151
vector,2,100,pop, 18,7,810
vector,2,100,insert, 3,2,288
vector,2,100,sort, 1252,509,46323
vector,2,100,build, 268,74,11421
vector,2,100,pop, 18,7,783
vector,2,100,insert, 1,0,108
vector,2,100,sort, 1245,507,46035
vector,2,100,build, 257,66,10305
vector,2,100,pop, 15,6,666
vector,2,100,insert, 3,2,252
vector,2,100,sort, 1249,509,47079
vector,2,100,build, 248,66,10458
vector,2,100,pop, 15,6,747
vector,2,100,insert, 2,1,198
vector,2,100,sort, 1254,509,528327
vector,2,100,build, 266,70,10809
vector,2,100,pop, 18,7,819
vector,2,100,insert, 2,1,216
vector,2,100,sort, 1250,503,47430
vector,2,100,build, 271,83,11691
vector,2,100,pop, 18,7,792
vector,2,100,insert, 4,3,333
vector,2,100,sort, 1260,516,48951
vector,2,100,build, 260,72,11475
vector,2,100,pop, 18,7,810
vector,2,100,insert, 6,5,432
vector,2,100,sort, 1245,507,45405
vector,2,100,build, 269,67,11286
vector,2,100,pop, 18,6,828
vector,2,100,insert, 3,2,297
vector,2,100,sort, 1258,510,48465
vector,2,100,build, 266,71,11439
vector,2,100,pop, 15,6,810
vector,2,100,insert, 2,1,198
vector,2,100,sort, 1245,510,47403
vector,2,100,build, 260,73,11412
vector,2,100,pop, 15,6,711
vector,2,100,insert, 1,0,108
vector,2,100,sort, 1263,511,48348
vector,2,100,build, 269,74,11637
vector,2,100,pop, 15,6,783
vector,2,100,insert, 1,0,108
vector,2,100,sort, 1231,501,47052
vector,2,100,build, 261,66,11259
vector,2,100,pop, 15,6,747
vector,2,100,insert, 3,2,288
vector,2,100,sort, 1251,508,85464
vector,2,100,build, 264,68,10584
vector,2,100,pop, 17,6,810
vector,2,100,insert, 1,0,108
vector,2,100,sort, 1257,505,84051
vector,2,100,build, 249,62,10422
vector,2,100,pop, 18,7,909
vector,2,100,insert, 1,0,90
vector,2,100,sort, 1238,505,47115
vector,2,100,build, 262,68,10296
vector,2,100,pop, 18,7,909
vector,2,100,insert, 2,1,225
vector,2,100,sort, 1250,511,47412
vector,2,100,build, 256,69,10656
vector,2,100,pop, 18,7,855
vector,2,100,insert, 1,0,189
vector,2,100,sort, 1254,514,49032
vector,2,100,build, 272,77,11439
vector,2,100,pop, 15,6,828
vector,2,100,insert, 1,0,108
vector,2,100,sort, 1254,506,47673
vector,2,100,build, 262,71,10845
vector,2,100,pop, 18,7,756
vector,2,100,insert, 4,3,288
vector,2,100,sort, 1250,511,46719
vector,2,100,build, 260,72,10917
vector,2,100,pop, 15,6,756
vector,2,100,insert, 1,0,108
vector,2,100,sort, 1249,509,47232
vector,2,100,build, 275,77,11295
vector,2,100,pop, 15,6,774
vector,2,100,insert, 2,1,144
vector,2,100,sort, 1260,512,48807
vector,2,100,build, 269,70,11142
vector,2,100,pop, 18,7,819
vector,2,100,insert, 5,4,369
vector,2,100,sort, 1245,504,47331
vector,2,100,build, 271,73,10926
vector,2,100,pop, 18,7,873
vector,2,100,insert, 1,0,108
vector,2,100,sort, 1250,509,46584
vector,2,200,build, 545,149,21465
vector,2,200,pop, 21,8,900
vector,2,200,insert, 2,1,189
vector,2,200,sort, 3084,1206,111474
vector,2,200,build, 527,136,19431
vector,2,200,pop, 18,7,873
vector,2,200,insert, 1,0,108
vector,2,200,sort, 3075,1210,192960
vector,2,200,build, 550,158,22635
vector,2,200,pop, 21,8,981
vector,2,200,insert, 3,2,315
vector,2,200,sort, 3082,1212,117252
vector,2,200,build, 548,141,19890
vector,2,200,pop, 18,7,846
vector,2,200,insert, 1,0,108
vector,2,200,sort, 3095,1216,115506
vector,2,200,build, 533,142,20277
vector,2,200,pop, 18,7,855
vector,2,200,insert, 6,5,459
vector,2,200,sort, 3082,1206,112995
vector,2,200,build, 526,127,19305
vector,2,200,pop, 21,8,882
vector,2,200,insert, 1,0,108
vector,2,200,sort, 3083,1217,110106
vector,2,200,build, 564,158,22851
vector,2,200,pop, 21,8,999
vector,2,200,insert, 4,3,333
vector,2,200,sort, 3091,1214,109206
vector,2,200,build, 555,152,21555
vector,2,200,pop, 21,8,837
vector,2,200,insert, 3,2,288
vector,2,200,sort, 3080,1207,112266
vector,2,200,build, 562,149,21492
vector,2,200,pop, 21,7,891
vector,2,200,insert, 1,0,108
vector,2,200,sort, 3071,1210,108324
vector,2,200,build, 553,148,20547
vector,2,200,pop, 18,6,702
vector,2,200,insert, 1,0,117
vector,2,200,sort, 3080,1209,110970
vector,2,200,build, 536,147,20583
vector,2,200,pop, 21,8,972
vector,2,200,insert, 2,1,171
vector,2,200,sort, 3079,1208,113229
vector,2,200,build, 552,157,21663
vector,2,200,pop, 21,7,792
vector,2,200,insert, 1,0,108
vector,2,200,sort, 3120,1217,113220
vector,2,200,build, 529,139,19485
vector,2,200,pop, 21,8,945
vector,2,200,insert, 1,0,117
vector,2,200,sort, 3102,1212,2258766
vector,2,200,build, 565,157,21717
vector,2,200,pop, 21,8,936
vector,2,200,insert, 2,1,171
vector,2,200,sort, 3064,1206,109386
vector,2,200,build, 553,147,20772
vector,2,200,pop, 21,8,846
vector,2,200,insert, 1,0,108
vector,2,200,sort, 3036,1195,112986
vector,2,200,build, 560,148,22248
vector,2,200,pop, 21,8,909
vector,2,200,insert, 2,1,216
vector,2,200,sort, 3075,1210,112401
vector,2,200,build, 560,155,22086
vector,2,200,pop, 18,6,684
vector,2,200,insert, 1,0,72
vector,2,200,sort, 3067,1202,112824
vector,2,200,build, 545,144,20673
vector,2,200,pop, 15,5,612
vector,2,200,insert, 1,0,108
vector,2,200,sort, 3069,1207,154260
vector,2,200,build, 532,145,20880
vector,2,200,pop, 21,8,1017
vector,2,200,insert, 6,5,405
vector,2,200,sort, 3084,1209,151092
vector,2,200,build, 531,134,64629
vector,2,200,pop, 18,7,873
vector,2,200,insert, 2,1,207
vector,2,200,sort, 3087,1217,147690
vector,2,200,build, 545,139,21132
vector,2,200,pop, 18,7,810
vector,2,200,insert, 2,1,180
vector,2,200,sort, 3112,1214,149877
vector,2,200,build, 542,131,19683
vector,2,200,pop, 21,8,1026
vector,2,200,insert, 7,6,477
vector,2,200,sort, 3090,1219,112977
vector,2,200,build, 539,140,20961
vector,2,200,pop, 21,8,936
vector,2,200,insert, 3,2,279
vector,2,200,sort, 3100,1203,112599
vector,2,200,build, 566,159,22689
vector,2,200,pop, 21,8,999
vector,2,200,insert, 1,0,108
vector,2,200,sort, 3079,1207,110781
vector,2,200,build, 527,142,20871
vector,2,200,pop, 21,8,999
vector,2,200,insert, 1,0,108
vector,2,200,sort, 3068,1204,111213
vector,2,200,build, 539,152,20088
vector,2,200,pop, 20,8,900
vector,2,200,insert, 2,1,225
vector,2,200,sort, 3069,1197,112581
vector,2,200,build, 545,148,20637
vector,2,200,pop, 21,8,972
vector,2,200,insert, 2,1,225
vector,2,200,sort, 3109,1218,113850
vector,2,200,build, 513,141,20484
vector,2,200,pop, 18,7,837
vector,2,200,insert, 1,0,108
vector,2,200,sort, 3090,1213,109458
vector,2,200,build, 542,140,20907
vector,2,200,pop, 18,7,855
vector,2,200,insert, 3,2,324
vector,2,200,sort, 3106,1226,110979
vector,2,200,build, 526,142,20583
vector,2,200,pop, 21,8,936
vector,2,200,insert, 1,0,117
vector,2,200,sort, 3072,1200,109215
vector,2,200,build, 533,139,20367
vector,2,200,pop, 18,7,828
vector,2,200,insert, 2,1,225
vector,2,200,sort, 3104,1212,113040
vector,2,200,build, 550,136,19548
vector,2,200,pop, 21,8,837
vector,2,200,insert, 5,4,387
vector,2,200,sort, 3104,1217,112356
vector,2,200,build, 545,141,20907
vector,2,200,pop, 21,8,864
vector,2,200,insert, 1,0,108
vector,2,200,sort, 3071,1207,148617
vector,2,200,build, 533,139,20367
vector,2,200,pop, 21,8,936
vector,2,200,insert, 4,3,324
vector,2,200,sort, 3095,1210,114246
vector,2,200,build, 534,132,20808
vector,2,200,pop, 18,7,792
vector,2,200,insert, 1,0,117
vector,2,200,sort, 3095,1213,113949
vector,2,200,build, 535,147,21555
vector,2,200,pop, 18,7,828
vector,2,200,insert, 1,0,108
vector,2,200,sort, 3093,1209,110196
vector,2,200,build, 556,153,21222
vector,2,200,pop, 21,8,954
vector,2,200,insert, 1,0,90
vector,2,200,sort, 3071,1197,105651
vector,2,200,build, 547,149,21726
vector,2,200,pop, 18,7,819
vector,2,200,insert, 1,0,90
vector,2,200,sort, 3055,1201,110898
vector,2,200,build, 537,145,21006
vector,2,200,pop, 21,8,954
vector,2,200,insert, 2,1,189
vector,2,200,sort, 3086,1209,111771
vector,2,200,build, 554,140,21087
vector,2,200,pop, 18,7,765
vector,2,200,insert, 1,0,99
vector,2,200,sort, 3104,1211,114948
vector,2,200,build, 545,150,19260
vector,2,200,pop, 18,7,900
vector,2,200,insert, 5,4,369
vector,2,200,sort, 3085,1211,111168
vector,2,200,build, 541,140,20547
vector,2,200,pop, 21,8,945
vector,2,200,insert, 1,0,90
vector,2,200,sort, 3079,1200,115641
vector,2,200,build, 551,147,21699
vector,2,200,pop, 21,8,954
vector,2,200,insert, 2,1,216
vector,2,200,sort, 3080,1209,112689
vector,2,200,build, 538,142,20070
vector,2,200,pop, 21,8,1017
vector,2,200,insert, 4,3,315
vector,2,200,sort, 3082,1208,111168
vector,2,200,build, 558,158,21186
vector,2,200,pop, 21,8,792
vector,2,200,insert, 1,0,99
vector,2,200,sort, 3074,1207,109872
vector,2,200,build, 547,141,20898
vector,2,200,pop, 21,8,963
vector,2,200,insert, 1,0,108
vector,2,200,sort, 3088,1206,111042
vector,2,200,build, 533,142,21033
vector,2,200,pop, 21,8,981
vector,2,200,insert, 1,0,90
vector,2,200,sort, 3094,1214,110817
vector,2,200,build, 554,141,20619
vector,2,200,pop, 18,7,864
vector,2,200,insert, 1,0,90
vector,2,200,sort, 3068,1209,113418
vector,2,200,build, 555,153,20889
vector,2,200,pop, 21,8,747
vector,2,200,insert, 2,1,216
vector,2,200,sort, 3084,1209,109548
vector,2,200,build, 551,146,20565
vector,2,200,pop, 21,8,990
vector,2,200,insert, 3,2,315
vector,2,200,sort, 3048,1191,111528
vector,2,200,build, 559,152,21069
vector,2,200,pop, 21,7,774
vector,2,200,insert, 4,3,315
vector,2,200,sort, 3095,1209,110862
vector,2,200,build, 557,149,21744
vector,2,200,pop, 18,7,936
vector,2,200,insert, 1,0,99
vector,2,200,sort, 3100,1216,115299
vector,2,200,build, 545,144,20826
vector,2,200,pop, 18,7,864
vector,2,200,insert, 1,0,117
vector,2,200,sort, 3072,1210,113643
vector,2,200,build, 521,142,19899
vector,2,200,pop, 18,7,855
vector,2,200,insert, 1,0,90
vector,2,200,sort, 3104,1227,112968
vector,2,200,build, 535,141,21312
vector,2,200,pop, 18,7,783
vector,2,200,insert, 5,4,369
vector,2,200,sort, 3102,1219,114030
vector,2,200,build, 542,145,21762
vector,2,200,pop, 21,8,891
vector,2,200,insert, 1,0,108
vector,2,200,sort, 3091,1207,113508
vector,2,200,build, 539,149,21573
vector,2,200,pop, 21,8,990
vector,2,200,insert, 2,1,234
vector,2,200,sort, 3089,1215,111510
vector,2,200,build, 559,152,21987
vector,2,200,pop, 21,8,1008
vector,2,200,insert, 2,1,171
vector,2,200,sort, 3086,1209,113535
vector,2,200,build, 550,150,20025
vector,2,200,pop, 21,8,999
vector,2,200,insert, 1,0,90
vector,2,200,sort, 3076,1212,111213
vector,2,200,build, 555,154,21699
vector,2,200,pop, 18,7,792
vector,2,200,insert, 4,3,297
vector,2,200,sort, 3078,1206,113625
vector,2,200,build, 522,138,19881
vector,2,200,pop, 18,7,927
vector,2,200,insert, 3,2,288
vector,2,200,sort, 3068,1202,112032
vector,2,200,build, 558,155,21528
vector,2,200,pop, 18,7,819
vector,2,200,insert, 2,1,207
vector,2,200,sort, 3085,1214,115155
vector,2,200,build, 551,146,21888
vector,2,200,pop, 18,7,873
vector,2,200,insert, 1,0,99
vector,2,200,sort, 3069,1205,109728
vector,2,200,build, 530,139,19350
vector,2,200,pop, 21,8,990
vector,2,200,insert, 1,0,108
vector,2,200,sort, 3088,1210,112842
vector,2,200,build, 556,148,21294
vector,2,200,pop, 18,7,873
vector,2,200,insert, 3,2,315
vector,2,200,sort, 3060,1190,111519
vector,2,200,build, 556,161,21204
vector,2,200,pop, 21,7,855
vector,2,200,insert, 1,0,99
vector,2,200,sort, 3061,1197,108531
vector,2,200,build, 562,155,20502
vector,2,200,pop, 21,7,783
vector,2,200,insert, 2,1,189
vector,2,200,sort, 3106,1212,111996
vector,2,200,build, 553,147,21123
vector,2,200,pop, 18,7,918
vector,2,200,insert, 1,0,288
vector,2,200,sort, 3061,1200,112275
vector,2,200,build, 533,141,20448
vector,2,200,pop, 21,8,909
vector,2,200,insert, 2,1,198
vector,2,200,sort, 3081,1216,109278
vector,2,200,build, 547,148,20907
vector,2,200,pop, 21,8,1044
vector,2,200,insert, 1,0,108
vector,2,200,sort, 3101,1219,110376
vector,2,200,build, 541,149,20781
vector,2,200,pop, 18,7,900
vector,2,200,insert, 3,2,270
vector,2,200,sort, 3067,1204,110214
vector,2,200,build, 550,147,20772
vector,2,200,pop, 18,7,783
vector,2,200,insert, 2,1,234
vector,2,200,sort, 3120,1224,111042
vector,2,200,build, 568,156,21960
vector,2,200,pop, 21,8,963
vector,2,200,insert, 3,2,306
vector,2,200,sort, 3087,1211,112860
